"6496","","1","","","","","","1","","","","NO","NO",""
"6499","","2","1","","2","2","two birds holding branches in beaks face a central chi-rho","","","","","NO","NO",""
"6506","","","1","","","","","","","","","NO","NO",""
"6509","","","","","","1","","","","","","NO","NO",""
"6517","","","1","","","","","","","","","NO","NO",""
"6519","","","","","","1","","","","","","NO","NO",""
"6523","","","","","","1","","","","","","NO","NO",""
"6524","","","2","","","","these chi-rhos have alphas and omegas","","","","","NO","NO",""
"6527","","1","","","1","","bird holds palm in beak","","","","","NO","NO",""
"6529","","1","","","","","","","","","","NO","NO",""
"6537","","","","","","","genius tabellam fulciens","","","","","NO","NO",""
"6540","1","1","","","","","","","","","","NO","NO",""
"6542","","","1","","","","","","","","","NO","NO",""
"6546","","","","","","","PORTRAIT: orans=Alexius, tool=hammer, chisel","","1","","","YES","NO",""
"6547","","2","","","","","doves flank name","","","","","NO","NO",""
"6548","","","","","","1","","","","","","NO","NO",""
"6551","","1","","","","","","","","","","NO","NO",""
"6552","","","1","","","","chi-rho has alpha and omega","","","","","NO","NO",""
"6556","1","","","","","","","","","","","NO","NO",""
"6559","","","","","","","man lying on a bed","","","","","NO","NO",""
"6568","1","","","","","","","","","","","NO","NO",""
"6571","","","","","","","cluster of grapes","","","","","NO","NO",""
"6572","","1","","","","","","","","","","NO","NO",""
"6573","","","","","","","","","","1","","NO","NO",""
"6575","","","","","","1","","","","","","NO","NO",""
"6576","1","","","","","","toy=little wagon","","","","","NO","YES",""
"6579","","1","","","","","","","","","","NO","NO",""
"6581","2","","","","","","","","","","","NO","NO",""
"6583","","1","","","","","","1","","","","NO","NO","2"
"6584","","","","","","","vase and fruit; from ed notes, it seems like the vase may be lying on its side, with the fruit sitting beside","","","","","NO","NO",""
"6587","","","","","","1","","","","","","NO","NO",""
"6596","","","","","","2","""hatcheted"" tabella: palm on hatchet, leaf on hatchet flank text; second leaf at end of text","","","1","","NO","NO",""
"6597","","1","","","","","","","","","","NO","NO",""
"6600","","","1","","","","","","","","","NO","NO",""
"6605","","","","","","1","","","","","","NO","NO",""
"6608","","","","","","","shepherd with sheep over shoulders, staff in right hand","","","","1","NO","NO",""
"6614","","","1","","","","onion to left of text, prob in reference to name (""little onion,"" although ""onion"" is a term of abuse); chi-rho has too many arms","","","","","NO","NO",""
"6615","","1","","","","","bird on olive branch","1","","","","NO","NO",""
"6618","","2","","","","1","PORTRAIT:Criste=orans, basket at feet; Cristor holds a little jug in his right, drinks from a cup in his left hand; dog on ground; birds carry olives in feet","2","1","","","NO","NO",""
"6623","","","","","","","part of a figure of uncertain type","","","","","NO","NO",""
"6626","","","","","","1","","","","","","NO","NO",""
"6629","","","1","","","","","","","","","NO","NO",""
"6635","","","1","","","","","","","","","NO","NO",""
"6639","","1","","","1","","bird on frond eats grapes with beak","","","","","NO","NO",""
"6643","","","1","","","","chi-rho w/ao","","","","","NO","NO",""
"6644","","","","","","","two swastikas","","","","","NO","NO",""
"6647","","2","","","","","two birds hold a garland or wreath in their beaks","","","","","NO","NO",""
"6648","","1","","","","","bird with branch in beak","1","","","","NO","NO",""
"6649","","2","","","","","the text and birds appear in a hatcheted tabella on the front of an arcosolium; THERE IS ALSO A PORTRAIT of Diogenes in the lunula.","","","","","NO","NO",""
"6650","","","1","","","","alpha, omega, and gamma located separately on opposite side of text from chi-rho","","","","","NO","NO",""
"6652","","","","","","1","amphora","","","","","NO","NO",""
"6653","","","","","","","crux commissa to left of name","","","","","NO","NO",""
"6656","","","2","","","","","","","","","NO","NO",""
"6660","","","1","","","","","","","","","NO","NO",""
"6661","","","1","","","2","","","","","","NO","NO",""
"6664","1","","","","","","","","","","","NO","NO",""
"6667","","1","","","","","good shepherd;  sheep under grape vine; bird pecking grapes","","","","1","NO","NO",""
"6669","","1","","","","","bird holds wreath in beak","","","","","NO","NO",""
"6672","","1","","","","","bird pecking bush","","","","","NO","NO",""
"6673","1","","","","","","","","","","","NO","NO",""
"6675","","","","","","","","","","1","","NO","NO",""
"6680","1","","","","","","","","","","","NO","NO",""
"6681","","","","","","","amphora","","","","","NO","NO",""
"6685","","1","","","1","","bird pecks frond","","","","","NO","NO",""
"6694","","","","","","","","","","1","","NO","NO",""
"6697","","","","","1","1","","","","","","NO","NO",""
"6705","","","","","","1","","","","","","NO","NO",""
"6706","","","1","","","","","","","","","NO","NO",""
"6707","","1","","","1","","","","","","","NO","NO",""
"6708","","1","","","","","two little flowers; bird pecks tree(s?=arbustum)","","","","","NO","NO","1"
"6709","","","1","","","","","","","","","NO","NO",""
"6711","","1","","","1","","","","","","","NO","NO",""
"6713","","","1","","","","","","","","","NO","NO",""
"6718","1","","","","","","","","","","","NO","NO",""
"6720","","","1","","","","","","","","","NO","NO",""
"6721","","","","","","","unidentifiable animal","","","","","NO","NO",""
"6723","","","1","","","","","","","","","NO","NO",""
"6726","","1","","","","1","bird drinks from vase","","","","","NO","NO",""
"6727","","1","","","","","shepherd and bird under a tree","","","","","NO","NO","1"
"6731","","","","","","","little bottle, tool=water clock; little bottle recently found also in Sebastiano","","","","","YES","NO",""
"6735","","","1","","","","","","","","","NO","NO",""
"6736","","","","","","","","","","1","","NO","NO",""
"6741","","","","","","","","","","1","","NO","NO",""
"6746","","","2","","","","","","","","","NO","NO",""
"6748","","1","","","1","","bird carries frond in his mouth","","","","","NO","NO",""
"6751","","","","","","","jug","","","","","NO","NO",""
"6752","","","","","","","tree=arbusculum, little tree or bush","","","","","NO","NO","1"
"6755","","1","","","","","bird on a branch or wreath; something else behind the bird","1","","","","NO","NO",""
"6758","","1","","","","","","","","","","NO","NO",""
"6759","","","1","","","","","","","","","NO","NO",""
"6760","","","","","","2","questionable hederae; more like twigs","","","","","NO","NO",""
"6764","","1","","","1","","","","","","","NO","NO",""
"6779","","1","","","","","","","","","","NO","NO",""
"6786","","","","","","1","","","","","","NO","NO",""
"6788","","1","","","","","bird grabs big branch","1","","","","NO","NO",""
