"","","","","","","","","","","","",,,,,,,,,,"NO","NO","NO","YES","","YES","NO","NO","NO","NO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"N","fragment b of 7677","D","NO","","NO","YES","YES","23","NO","NO","I",,,,,,,,,,"YES","NO","NO","NO","","NO","NO","NO","NO","NO","found in the stairs of A9'","","A","ambulacro","9'","Yes","","","1","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment d of 7685","D","NO","","NO","NO","YES","24","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","C","ambulacro","4","Yes","","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment d of 7794; possibly related to 7793","D","NO","Saproca…","NO","NO","YES","25","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","P","ambulacro","","Yes","","","","","","","vase","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 7837; inscribed around mouth of sepulchre","D","NO","","NO","NO","YES","26","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","C","ambulacro","8","Yes","","","","","","","","","","1","","NO","NO","",,,,,,,,,,,,,
"N","fragment d of 7862","D","NO","","NO","NO","YES","27","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","U","ambulacro","2","Yes","","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment c of 7887","D","NO","Ursa","NO","NO","YES","28","NO","YES","F",,,,,,,,,,,,,,,,,,,,"","","S","ambulacro","12","Yes","","","","","","1","","","","","","NO","NO","","","1","","at least","","NO","NO","NO","NO","YES","","NO","NO"
"N","fragment f of 7887","D","NO","","NO","NO","YES","29","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","F","ambulacro","","Yes","","","","","","","tree or something; kind of funky looking","","","","","NO","NO","1",,,,,,,,,,,,,
"N","fragment d of 7900","D","NO","","NO","NO","YES","30","NO","NO","F",,,,,,,,,,,,,,,,,,,,"","","D","ambulacro","2","Yes","","","","","","","tree: looks like the top of a palm tree, but the bottom is cut off","","","","","NO","NO","1",,,,,,,,,,,,,
"N","fragment d of 7904","D","NO","","NO","NO","YES","31","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","U","ambulacro","","Yes","","","1","","","","","","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment d of 7909","D","NO","","YES","NO","YES","32","NO","NO","I",,,,,,,,"parentes-…onitati","parents-child",,,,,,,,,,,"","","U","ambulacro","1","Yes","","1","","","1","","bird holds little frond in beak","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment g of  7909","D","NO","","NO","NO","YES","33","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","P","ambulacro","2","Yes","","","","","","1","also the edge of some bas-relief, cut off","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 7917","D","NO","…icus","NO","NO","YES","34","NO","NO","M",,,,,,,,,,,,,,,,,,,,"","","B","ambulacro","3","Yes","","1","","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 7987","D","NO","","NO","NO","YES","35","NO","YES","I",,,,,,,,,,,,,,,,,,,,"found in E, now in E6","","E","ambulacro","","Yes","","","","","","1","","","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment b of 7988","D","NO","","NO","NO","YES","36","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","B","ambulacro","4","Yes","","","","","","1","","","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment b of 7989","D","NO","","NO","NO","YES","37","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","G","cubiculum","e","Yes","","","","","","","tool=key","","","","","YES","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment c of 7989","D","NO","","NO","NO","YES","38","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","D","ambulacro","13","Yes","","","","","","","","1","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment e of 7989","D","NO","","NO","NO","YES","39","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","A","cubiculum","d","Yes","","1","","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment f of 8003","D","NO","","NO","NO","YES","40","NO","YES","I",,,,,,,,,,,,,,,,,,,,"","","D","ambulacro","2","Yes","","","","","","","tool=ed.: marmorarius' chisel","","","","","YES","NO","",,,,,,"NO","NO","NO","NO","YES","","NO","NO"
"N","fragment b of 8016","D","NO","","NO","NO","YES","41","NO","YES","I",,,,,,,,,,,,,,,,,,,,"in its spot","","G","ambulacro","12","Yes","","","1","","","","","","","","","NO","NO","",,,,,,"NO","NO","NO","NO","YES","""in pace [chi-rho]""","NO","NO"
"N","fragment b of 8022","D","NO","","NO","NO","YES","42","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","P","ambulacro","4","Yes","","","","","","1","","","","","","NO","NO","",,,,,,,,,,,,,
"T","fragment b of 8023","D","NO","","NO","NO","YES","43","NO","NO","I","TRIED: ""…it anos XX"" is all that remains","","","","",,,,,,,,,,,,,,,"","","B","ambulacro","","Yes","","1","","","1","","bird with frond in beak","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment e of 8025","D","NO","","NO","NO","YES","44","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","G","ambulacro","7","Yes","","1","","","","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment g of 8089","D","NO","","NO","NO","YES","45","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","A","ambulacro","''","Yes","","1","","","","1","bird standing over hedera","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment h of 8089","D","NO","","NO","NO","YES","46","NO","NO","I",,,,,,,,,,,,,,,,,,,,"","","A","ambulacro","4","Yes","","","","","","","foot of a person with knee-length garment, walking, to our left, remains","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment i of 8089","D","NO","","NO","NO","YES","47","NO","NO","F",,,,,,,,,,,,,,,,,,,,"","","P","ambulacro","5","Yes","","","","","","","","","","1","","NO","NO","",,,,,,,,,,,,,
"N","fragment c of 8300","D","NO","","NO","NO","YES","48","NO","NO","I",,,,,,,,,,,,,,,,,,,,"found in exploring the apse foundations; now affixed at g","","Basilica","","apse","","","","","","1","","","","","","","NO","NO","",,,,,,,,,,,,,
"N","fragment b of 8510","D","NO","Hilarii","NO","NO","NO","49","NO","NO","M",,,,,,,,,,,,,,,,,,,,,,,,,,"","","","","","","","","","1","","NO","NO","","","1","","","",,,,,,,,
"T","side b of 8551--mimics composition of side a","D","NO","","NO","YES","NO","50","NO","NO","F","TRIED: adult by marriage at least, years cut off","","","","",,,,,"YES","NO","YES","NO","","NO","NO","NO","NO","NO",,,,,,,"","1","","","","","bird on olive","1","","","","NO","NO","",,,,,,,,,,,,,
